# Shockley-Queisser Efficiency vs Bandgap
# Bandgap (eV)	Efficiency (%)
2.84014	6.49527
2.84807	6.40419
2.856	6.32247
2.86393	6.15228
2.87186	6.08106
2.87979	6.02827
2.88771	5.96276
2.89564	5.88417
2.90357	5.8022
2.9115	5.63195
2.91943	5.54495
2.92736	5.459
2.93529	5.37087
2.94322	5.28011
2.95115	5.19474
2.95908	5.02521
2.96701	4.93874
2.97494	4.8485
2.98286	4.75823
2.99079	4.67098
2.99872	4.5847
3.00665	4.49552
3.01458	4.4071
3.02251	4.32682
3.03044	4.24398
3.03837	4.1566
3.0463	3.99298
3.05423	3.9094
3.06216	3.82318
3.07009	3.7363
3.07801	3.64809
3.08594	3.55968
3.09387	3.47488
3.1018	3.43358
3.10973	3.35469
3.11766	3.29455
3.12559	3.26169
3.13352	3.21006
3.14145	3.15332
3.14938	3.11955
3.15731	3.08682
3.16524	3.03064
3.17316	2.96897
3.18109	2.91158
3.18902	2.86234
3.19695	2.81757
3.20488	2.7717
3.21281	2.72694
3.22074	2.68051
3.22867	2.66101
3.2366	2.63034
3.24453	2.59514
3.25246	2.54574
3.26038	2.49116
3.26831	2.44037
3.27624	2.37911
3.28417	2.34807
3.2921	2.29464
3.30003	2.24564
3.30796	2.20245
3.31589	2.16249
3.32382	2.14109
3.33175	2.09346
3.33968	2.04082
3.34761	1.98792
3.35553	1.93224
3.36346	1.90671
3.37139	1.85564
3.37932	1.80054
3.38725	1.77239
3.39518	1.72043
3.40311	1.67466
3.41104	1.62984
3.41897	1.60743
3.4269	1.56695
3.43483	1.52736
3.44276	1.50528
3.45068	1.46373
3.45861	1.43262
3.46654	1.41612
3.47447	1.38071
3.4824	1.3603
3.49033	1.31518
3.49826	1.26793
3.50619	1.24514
3.51412	1.20479
3.52205	1.18549
3.52998	1.14437
3.53791	1.10133
3.54583	1.0819
3.55376	1.04547
3.56169	1.02695
3.56962	0.989707
3.57755	0.970633
3.58548	0.933021
3.59341	0.914537
3.60134	0.881996
3.60927	0.864366
3.6172	0.824478
3.62513	0.804797
3.63306	0.76734
3.64098	0.748092
3.64891	0.70877
3.65684	0.690147
3.66477	0.654246
3.6727	0.637721
3.68063	0.607532
3.68856	0.591719
3.69649	0.55598
3.70442	0.53772
3.71235	0.503985
3.72028	0.487171
3.72821	0.469654
3.73613	0.434695
3.74406	0.418108
3.75199	0.382981
3.75992	0.363788
3.76785	0.3456
3.77578	0.314753
3.78371	0.299772
3.79164	0.267283
3.79957	0.251119
3.8075	0.236679
3.81543	0.21292
3.82336	0.201523
3.83128	0.190837
3.83921	0.172744
3.84714	0.163803
3.85507	0.154398
3.863	0.134214
3.87093	0.124974
3.87886	0.116761
3.88679	0.100533
3.89472	0.0931107
3.90265	0.0857509
3.91058	0.0784722
3.91851	0.0662424
3.92643	0.0612909
3.93436	0.0560648
3.94229	0.0454254
3.95022	0.0407515
3.95815	0.0363306
3.96608	0.0320839
3.97401	0.0244713
3.98194	0.021033
3.98987	0.0179777
3.9978	0.0155856
4.00573	0.0136538
4.01366	0.0102559
4.02158	0.00863
4.02951	0.00712297
4.03744	0.0058217
4.04537	0.00400935
4.0533	0.0032474
4.06123	0.00252862
4.06916	0.00194882
4.07709	0.00151254
4.08502	0.00113718
4.09295	0.000579681
4.10088	0.000434006
4.10881	0.000320734
4.11673	0.000227578
4.12466	0.000163735
4.13259	0.000118288
4.14052	5.35658e-05
4.14845	3.66302e-05
4.15638	2.37514e-05
4.16431	1.43115e-05
4.17224	8.7208e-06
4.18017	5.40988e-06
4.1881	3.06852e-06
4.19603	8.06029e-07
4.20396	4.40252e-07
4.21188	2.32593e-07
4.21981	1.08813e-07
4.22774	4.8919e-08
4.23567	2.43955e-08
4.2436	1.12623e-08
4.25153	4.17083e-09
4.25946	1.48169e-09
4.26739	5.77942e-10
4.27532	2.14124e-10
